Title,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Artist9,ArtistA,ArtistB,Words1,Words2,Words3,Words4,Words5,Music1,Music2,Music3,Music4,Arrangement1,Arrangement2,Arrangement3,Album,Year,TrackNum,TotalTracks,YouTube,Length
And We Go,Peter Breinholt,,,,,,,,,,,Don Stirling,Sam Cardon,Peter Breinholt,,,Don Stirling,Sam Cardon,Peter Breinholt,,,,,EFY 1998: Joy in the Journey (1998),1998,3,12,,
Joy Will Be My Reward,Felicia Sorensen Wolfe,,,,,,,,,,,Merrill Jenson,Betsy Jenson,,,,Merrill Jenson,Betsy Jenson,,,,,,EFY 1998: Joy in the Journey (1998),1998,4,12,,
North Star,Greg Simpson,,,,,,,,,,,Greg Simpson,Julie de Azevedo,,,,Greg Simpson,Julie de Azevedo,,,,,,EFY 1998: Joy in the Journey (1998),1998,5,12,,
Song of Truth,BYU Men’s Chorus,,,,,,,,,,,Jean L. Kaberry,Will L. Thompson,W. O. Robinson,,,Robert P. Manookin,Will L. Thompson,Frank W. Asper,,Merrill Jenson,,,EFY 1998: Joy in the Journey (1998),1998,6,12,,
Take Me There,Julie de Azevedo,,,,,,,,,,,Julie de Azevedo,,,,,Julie de Azevedo,,,,,,,EFY 1998: Joy in the Journey (1998),1998,7,12,,
Keep Me in Motion,Felicia Sorensen Wolfe,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,,,,EFY 1998: Joy in the Journey (1998),1998,8,12,,
Love Will Find You There,John McVey,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,,,,EFY 1998: Joy in the Journey (1998),1998,9,12,,
Reaching,Stacie Smith Shurtliff,,,,,,,,,,,Carolyn Arends,,,,,Carolyn Arends,,,,,,,EFY 1998: Joy in the Journey (1998),1998,10,12,,
Whatever It Takes,John McVey,Felicia Sorensen Wolfe,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,,,,EFY 1998: Joy in the Journey (1998),1998,11,12,,
Taking It Home with Me,Brett Raymond,,,,,,,,,,,Vickey Pahnke Taylor,Steve James,,,,Vickey Pahnke Taylor,Steve James,,,,,,EFY 1998: Joy in the Journey (1998),1998,12,12,,
Fearless Heart,Katherine Nelson,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,,,,EFY 1999: A Season for Courage (1999),1999,1,12,,
A Season for Courage,John McVey,,,,,,,,,,,Tyler Castleton,John McVey,Staci Peters,,,Tyler Castleton,John McVey,Staci Peters,,,,,EFY 1999: A Season for Courage (1999),1999,2,12,,
Stones in the River,Doug Walker,,,,,,,,,,,Doug Walker,Sherry Marks Walker,,,,Doug Walker,Sherry Marks Walker,,,,,,EFY 1999: A Season for Courage (1999),1999,3,12,,
Perfect Love,Felicia Sorensen Wolfe,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,,,,EFY 1999: A Season for Courage (1999),1999,4,12,,
Psalm of Joy,Choir,,,,,,,,,,,Merrill Jenson,,,,,Merrill Jenson,,,,,,,EFY 1999: A Season for Courage (1999),1999,5,12,,
I Will Not Be Still,Kenneth Cope,,,,,,,,,,,Tyler Castleton,Staci Peters,Greg Simpson,,,Tyler Castleton,Staci Peters,Greg Simpson,,,,,EFY 1999: A Season for Courage (1999),1999,6,12,,
The Watchmen,Greg Simpson,,,,,,,,,,,Greg Simpson,Jon Fuller,,,,Greg Simpson,Jon Fuller,,,,,,EFY 1999: A Season for Courage (1999),1999,7,12,,
Promises I Keep,Cherie Call,,,,,,,,,,,Cherie Call,,,,,Cherie Call,,,,,,,EFY 1999: A Season for Courage (1999),1999,8,12,,
Distracted,John McVey,,,,,,,,,,,Tyler Castleton,John McVey,Staci Peters,,,Tyler Castleton,John McVey,Staci Peters,,,,,EFY 1999: A Season for Courage (1999),1999,9,12,,
Feel the Fire,Julie de Azevedo,,,,,,,,,,,Julie de Azevedo,,,,,Julie de Azevedo,Tyler Castleton,,,,,,EFY 1999: A Season for Courage (1999),1999,10,12,,
Whatever It Takes,John McVey,Felicia Sorensen Wolfe,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,,,,EFY 1999: A Season for Courage (1999),1999,11,12,,
When All Is Said and Done,Katherine Nelson,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,,,,EFY 1999: A Season for Courage (1999),1999,12,12,,
Forward with Faith,Kim Bracken,,,,,,,,,,,Roger Hoffman,Jon Schmidt,Kim Bracken,,,Roger Hoffman,Jon Schmidt,,,,,,EFY 2000: Forward with Faith (2000),2000,1,12,,
A Call I Hear,Peter Breinholt,,,,,,,,,,,Peter Breinholt,,,,,Peter Breinholt,,,,,,,EFY 2000: Forward with Faith (2000),2000,2,12,,
The Olive Tree,Felicia Sorensen Wolfe,,,,,,,,,,,Kurt Bestor,Don Stirling,,,,Kurt Bestor,Don Stirling,,,,,,EFY 2000: Forward with Faith (2000),2000,3,12,,
Memory Lane,Jake White,,,,,,,,,,,Jake White,,,,,Jake White,,,,,,,EFY 2000: Forward with Faith (2000),2000,4,12,,
Any Other Boy,Peter Breinholt,,,,,,,,,,,Brett Raymond,,,,,Brett Raymond,,,,,,,EFY 2000: Forward with Faith (2000),2000,5,12,,
Her Garden,Tammy Simister Robinson,,,,,,,,,,,Tammy Simister Robinson,,,,,Tammy Simister Robinson,,,,,,,EFY 2000: Forward with Faith (2000),2000,6,12,,
I Know That My Redeemer Lives,Linda Rowberry,,,,,,,,,,,Samuel Medley,,,,,Lewis D. Edwards,,,,Michael R. Hicks,,,EFY 2000: Forward with Faith (2000),2000,7,12,,
What About,Peter Breinholt,,,,,,,,,,,Peter Breinholt,,,,,Peter Breinholt,,,,,,,EFY 2000: Forward with Faith (2000),2000,8,12,,
Waterfall,Jon Schmidt,,,,,,,,,,,N/A,,,,,Jon Schmidt,,,,,,,EFY 2000: Forward with Faith (2000),2000,9,12,,
Amazing Things,Julie de Azevedo,,,,,,,,,,,Julie de Azevedo,Tom Hopkins,,,,Julie de Azevedo,Tom Hopkins,,,,,,EFY 2000: Forward with Faith (2000),2000,10,12,,
Safe Inside,Nancy Hanson,Kevin Corbett,,,,,,,,,,Peter Breinholt,,,,,Peter Breinholt,,,,,,,EFY 2000: Forward with Faith (2000),2000,11,12,,
A Quiet Prayer,Nancy Hanson,,,,,,,,,,,Nancy Hanson,,,,,Nancy Hanson,,,,,,,EFY 2000: Forward with Faith (2000),2000,12,12,,
Remember the Promise,Brett Raymond,,,,,,,,,,,Jim Funk,Greg Simpson,,,,Jim Funk,Greg Simpson,,,Jim Funk,Greg Simpson,,EFY 2001: Remember the Promise (2001),2001,1,10,,
I Stand All Amazed,Katherine Nelson,,,,,,,,,,,Charles H. Gabriel,,,,,Charles H. Gabriel,,,,Tyler Castleton,,,EFY 2001: Remember the Promise (2001),2001,2,10,,
Beautiful,Cherie Call,,,,,,,,,,,Cherie Call,,,,,Cherie Call,,,,Tyler Castleton,,,EFY 2001: Remember the Promise (2001),2001,3,10,,
I’ll Be,John McVey,,,,,,,,,,,Greg Simpson,Jim Funk,,,,Greg Simpson,Jim Funk,,,Greg Simpson,Jim Funk,,EFY 2001: Remember the Promise (2001),2001,4,10,,
Tender Mercies,Shane Jackman,,,,,,,,,,,Shane Jackman,,,,,Shane Jackman,,,,Rich Dixon,,,EFY 2001: Remember the Promise (2001),2001,5,10,,
One Thing to Lose,Greg Simpson,,,,,,,,,,,Greg Simpson,,,,,Greg Simpson,,,,Greg Simpson,Rich Dixon,,EFY 2001: Remember the Promise (2001),2001,6,10,,
This Earth Was Once a Garden Place,Peter Breinholt,,,,,,,,,,,William W. Phelps,,,,,Anon.,,,,Rich Dixon,,,EFY 2001: Remember the Promise (2001),2001,7,10,,
Growing Young,Greg Simpson,,,,,,,,,,,Rich Mullins,David A. Strassner,,,,Rich Mullins,David A. Strassner,,,,,,EFY 2001: Remember the Promise (2001),2001,8,10,,
The Way to Emmaus,Nancy Hanson,,,,,,,,,,,Sam Cardon,Don Stirling,Nancy Hanson,,,Sam Cardon,Don Stirling,Nancy Hanson,,Sam Cardon,,,EFY 2001: Remember the Promise (2001),2001,9,10,,
When All Is Said and Done,The Standards,,,,,,,,,,,Geoff Moore,,,,,Geoff Moore,Jeff Silvey,,,The Standards,,,EFY 2001: Remember the Promise (2001),2001,10,10,,
We Believe,Kenneth Cope,,,,,,,,,,,Greg Simpson,,,,,Greg Simpson,,,,Greg Simpson,Jim Funk,,EFY 2002: We Believe (2002),2002,1,11,,
I Need Thee Every Hour,April Meservy,,,,,,,,,,,Annie S. Hawks,,,,,Robert Lowry,,,,Brett Raymond,,,EFY 2002: We Believe (2002),2002,2,11,,
Fertile Soil,Michael Webb,,,,,,,,,,,Michael Webb,Dan Truman,,,,Michael Webb,Dan Truman,,,Rich Dixon,,,EFY 2002: We Believe (2002),2002,3,11,,
Stand in Holy Places,Jenny Jordan Frogley,,,,,,,,,,,Greg Simpson,Erin Shepherd,,,,Greg Simpson,Erin Shepherd,,,Greg Simpson,Jim Funk,,EFY 2002: We Believe (2002),2002,4,11,,
"Soul, Heart and Mind",Greg Simpson,,,,,,,,,,,Greg Simpson,,,,,Greg Simpson,,,,Greg Simpson,Jim Funk,,EFY 2002: We Believe (2002),2002,5,11,,
Go Bring Them In,Nancy Hanson,,,,,,,,,,,Don Stirling,Nancy Hanson,Sam Cardon,,,Don Stirling,Nancy Hanson,Sam Cardon,,Sam Cardon,,,EFY 2002: We Believe (2002),2002,6,11,,
The Things I Know,Doug Walker,,,,,,,,,,,Doug Walker,,,,,Doug Walker,,,,Michael Dowdle,,,EFY 2002: We Believe (2002),2002,7,11,,
Where Faith Lives,Cherie Call,,,,,,,,,,,Cherie Call,Tyler Castleton,,,,Cherie Call,Tyler Castleton,,,Tyler Castleton,,,EFY 2002: We Believe (2002),2002,8,11,,
Come Thou Fount,Freddie Ashby,,,,,,,,,,,Robert Robinson,,,,,John Wyeth,,,,Rich Dixon,,,EFY 2002: We Believe (2002),2002,9,11,,
Fulness of Time,Greg Simpson,,,,,,,,,,,Greg Simpson,,,,,Greg Simpson,,,,Greg Simpson,Jim Funk,,EFY 2002: We Believe (2002),2002,10,11,,
In His Embrace,Katherine Nelson,,,,,,,,,,,Karleen Watt,Derek Hinckley,,,,Karleen Watt,Derek Hinckley,,,,,,EFY 2002: We Believe (2002),2002,11,11,,
Look and Live,Katherine Nelson,,,,,,,,,,,Greg Simpson,Jim Funk,,,,Greg Simpson,Jim Funk,,,,,,EFY 2003: Look and Live (2003),2003,1,11,,
When You Look in the Mirror,Nancy Hanson,,,,,,,,,,,Nancy Hanson,,,,,Nancy Hanson,,,,,,,EFY 2003: Look and Live (2003),2003,2,11,,
I Cry,Freddie Ashby,,,,,,,,,,,Barry Gibbons,,,,,Barry Gibbons,,,,,,,EFY 2003: Look and Live (2003),2003,3,11,,
Where Can I Turn for Peace?,Felicia Starks,,,,,,,,,,,Emma Lou Thayne,,,,,Joleen G. Meredith,,,,,,,EFY 2003: Look and Live (2003),2003,4,11,,
The View from Here,Doug Walker,,,,,,,,,,,Doug Walker,,,,,Doug Walker,,,,,,,EFY 2003: Look and Live (2003),2003,5,11,,
Send Me,David Kimball,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,,,,EFY 2003: Look and Live (2003),2003,6,11,,
I Believe,Brett Raymond,,,,,,,,,,,Guy Richey Gibbons,Felicia Starks,Barry Gibbons,,,Guy Richey Gibbons,Felicia Starks,Barry Gibbons,,,,,EFY 2003: Look and Live (2003),2003,7,11,,
"Oh, Israel",Greg Simpson,,,,,,,,,,,Greg Simpson,,,,,Greg Simpson,,,,,,,EFY 2003: Look and Live (2003),2003,8,11,,
It Passes All My Understanding,Cherie Call,,,,,,,,,,,Cherie Call,,,,,Cherie Call,,,,,,,EFY 2003: Look and Live (2003),2003,9,11,,
I Feel My Savior’s Love,Jessie Clark Funk,,,,,,,,,,,Ralph Rodgers Jr.,K. Newell Dayley,Laurie A. Huffman,,,K. Newell Dayley,,,,,,,EFY 2003: Look and Live (2003),2003,10,11,,
Takin’ It All with Me,Russ Dixon,,,,,,,,,,,B. Michael Gibbons,Barry Gibbons,,,,B. Michael Gibbons,Barry Gibbons,,,,,,EFY 2003: Look and Live (2003),2003,11,11,,
Stand in the Light,Michael Webb,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,Scott Reinwand,,,EFY 2004: Stand in the Light (2004),2004,1,12,,
Child of Light,Mindy Gledhill,,,,,,,,,,,Mindy Gledhill,,,,,Mindy Gledhill,,,,,,,EFY 2004: Stand in the Light (2004),2004,2,12,,
His Love,Jake Rau,,,,,,,,,,,Jake Rau,,,,,Jake Rau,,,,Tyler Castleton,,,EFY 2004: Stand in the Light (2004),2004,3,12,,
The Light,April Meservy,,,,,,,,,,,Michelle Tumes,,,,,Michelle Tumes,,,,Dan Lee,Tyler Castleton,,EFY 2004: Stand in the Light (2004),2004,4,12,,
I Was Made,Michael Webb,,,,,,,,,,,Michael Webb,,,,,Michael Webb,,,,Tyler Castleton,,,EFY 2004: Stand in the Light (2004),2004,5,12,,
Here to Be,Rachel Thibodeau,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,,,,EFY 2004: Stand in the Light (2004),2004,6,12,,
Abide with Me; ’Tis Eventide,Katherine Nelson,,,,,,,,,,,M. Lowrie Hofford,,,,,Harrison Millard,,,,Tyler Castleton,,,EFY 2004: Stand in the Light (2004),2004,7,12,,
See the Light,Jericho Road,,,,,,,,,,,Jason Barton,Scott Krippayne,,,,Jason Barton,Scott Krippayne,,,Dan Lee,Tyler Castleton,,EFY 2004: Stand in the Light (2004),2004,8,12,,
Follow the Light,Hilary Weeks,,,,,,,,,,,Don Stirling,Sam Cardon,Tyler Castleton,,,Don Stirling,Sam Cardon,Tyler Castleton,,Sam Cardon,,,EFY 2004: Stand in the Light (2004),2004,9,12,,
Calling You,David Kimball,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,Tyler Castleton,,,EFY 2004: Stand in the Light (2004),2004,10,12,,
One Voice,Dustin Gledhill,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,Tyler Castleton,,,EFY 2004: Stand in the Light (2004),2004,11,12,,
These Are the Days,Jenny Jordan Frogley,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,Tyler Castleton,,,EFY 2004: Stand in the Light (2004),2004,12,12,,
A More Excellent Way,David Osmond,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,,,,EFY 2005: A More Excellent Way (2005),2005,1,13,,
Time That Is Left,David Kimball,,,,,,,,,,,Mark Shultz,James Isaac Elliott,,,,Mark Shultz,James Isaac Elliott,,,,,,EFY 2005: A More Excellent Way (2005),2005,2,13,,
Worthy to Stand,Jessie Clark Funk,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,,,,EFY 2005: A More Excellent Way (2005),2005,3,13,,
More,Kenneth Cope,,,,,,,,,,,Kenneth Cope,,,,,Kenneth Cope,,,,,,,EFY 2005: A More Excellent Way (2005),2005,4,13,,
I Know He Lives,April Meservy,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,,,,EFY 2005: A More Excellent Way (2005),2005,5,13,,
I Will Be Ready,Todd Schwartzman,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,,,,EFY 2005: A More Excellent Way (2005),2005,6,13,,
Overcome,Julie de Azevedo,,,,,,,,,,,Michael Webb,,,,,Michael Webb,,,,,,,EFY 2005: A More Excellent Way (2005),2005,7,13,,
There Is More,Jericho Road,,,,,,,,,,,Jason Barton,Chad Coates,Dan Muckala,,,Jason Barton,Chad Coates,Dan Muckala,,,,,EFY 2005: A More Excellent Way (2005),2005,8,13,,
"In Humility, Our Savior",Hilary Weeks,,,,,,,,,,,Mabel Jones Gabbott,,,,,Rowland H. Prichard,,,,Staci Peters,,,EFY 2005: A More Excellent Way (2005),2005,9,13,,
What Heaven Sees in You,Mindy Gledhill,,,,,,,,,,,Doug Walker,Sherry Marks Walker,,,,Doug Walker,Sherry Marks Walker,,,,,,EFY 2005: A More Excellent Way (2005),2005,10,13,,
Broken,Kenneth Cope,,,,,,,,,,,Kenneth Cope,Eliza Cope,,,,Kenneth Cope,Eliza Cope,,,,,,EFY 2005: A More Excellent Way (2005),2005,11,13,,
These Are the Days,Jenny Jordan Frogley,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,,,,EFY 2005: A More Excellent Way (2005),2005,12,13,,
Praise the Man,Jenny Jordan Frogley,,,,,,,,,,,Tyler Castleton,Staci Peters,William W. Phelps,Janice Kapp Perry,,Tyler Castleton,Staci Peters,Scottish folk song,Janice Kapp Perry,,,,EFY 2005: A More Excellent Way (2005),2005,13,13,,
Give the Gift,Jenny Jordan Frogley,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,,,,EFY 2006: The Greatest Gift (2006),2006,1,12,,
As I Am,Dan Cahoon,,,,,,,,,,,Jerry Williams,Michael McLean,,,,Jerry Williams,Michael McLean,,,,,,EFY 2006: The Greatest Gift (2006),2006,2,12,,
The Greatest Gift,Felicia Sorensen Wolfe,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,,,,EFY 2006: The Greatest Gift (2006),2006,3,12,,
Light Will Rise,April Meservy,,,,,,,,,,,Scott Krippayne,Sarah Hart,,,,Scott Krippayne,Sarah Hart,,,,,,EFY 2006: The Greatest Gift (2006),2006,4,12,,
"All Times, All Things, All Places",Chad Neth,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,,,,EFY 2006: The Greatest Gift (2006),2006,5,12,,
Beautiful to Him,Rachel Thibodeau,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,,,,EFY 2006: The Greatest Gift (2006),2006,6,12,,
"Come, Follow Me",Dan Cahoon,,,,,,,,,,,John Nicholson,,,,,Samuel McBurney,,,,,,,EFY 2006: The Greatest Gift (2006),2006,7,12,,
Prove Me,Hilary Weeks,,,,,,,,,,,Hilary Weeks,,,,,Hilary Weeks,,,,,,,EFY 2006: The Greatest Gift (2006),2006,8,12,,
A Mighty Change of Heart,David Osmond,,,,,,,,,,,Cherie Call,,,,,Cherie Call,,,,,,,EFY 2006: The Greatest Gift (2006),2006,9,12,,
Live Like You Believe,Jenny Phillips,,,,,,,,,,,Tyler Castleton,Jenny Phillips,,,,Tyler Castleton,Jenny Phillips,,,,,,EFY 2006: The Greatest Gift (2006),2006,10,12,,
Because,Brian Rhodes,,,,,,,,,,,Shawna Edwards,,,,,Shawna Edwards,,,,,,,EFY 2006: The Greatest Gift (2006),2006,11,12,,
Shine On,David Osmond,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,,,,EFY 2006: The Greatest Gift (2006),2006,12,12,,
Power in Purity,Freddie Ashby,,,,,,,,,,,Greg Simpson,Barry Gibbons,Jim Funk,,,Greg Simpson,Barry Gibbons,Jim Funk,,,,,EFY 2007: Power in Purity (2007),2007,1,12,,
You Raise Me Up,Daniel Beck,,,,,,,,,,,Brendan Graham,Rolf Lovland,,,,Brendan Graham,Rolf Lovland,,,Brett Raymond,,,EFY 2007: Power in Purity (2007),2007,2,12,,
…And Waiting,Dan Cahoon,,,,,,,,,,,Brad Hull,Matt Lopez,Jeannine Lasky,Michael Dowdle,,Brad Hull,Matt Lopez,Jeannine Lasky,Michael Dowdle,,,,EFY 2007: Power in Purity (2007),2007,3,12,,
Inside,Jessie Clark Funk,,,,,,,,,,,Jeannine Lasky,Todd McCabe,Jim Funk,Barry Gibbons,,Jeannine Lasky,Todd McCabe,Jim Funk,Barry Gibbons,,,,EFY 2007: Power in Purity (2007),2007,4,12,,
It’s Gonna Rain,Freddie Ashby,,,,,,,,,,,B. Michael Gibbons,Barry Gibbons,,,,B. Michael Gibbons,Barry Gibbons,,,,,,EFY 2007: Power in Purity (2007),2007,5,12,,
Let It Shine,Daniel Beck,,,,,,,,,,,Greg Simpson,Barry Gibbons,,,,Greg Simpson,Barry Gibbons,,,,,,EFY 2007: Power in Purity (2007),2007,6,12,,
Familiar,Jessie Clark Funk,,,,,,,,,,,Greg Simpson,Jim Funk,,,,Greg Simpson,Jim Funk,,,,,,EFY 2007: Power in Purity (2007),2007,7,12,,
I Am a Child of God / I Have a Savior,April Meservy,,,,,,,,,,,Naomi W. Randall,Randy Kartchner,Ryan Maag,,,Mildred Tanner Pettit,Randy Kartchner,Ryan Maag,,Medleyist: Randy Kartchner,Ryan Maag,,EFY 2007: Power in Purity (2007),2007,8,12,,
Treasure in Heaven,Clint Poulsen,,,,,,,,,,,Clint Poulsen,Jim Funk,Barry Gibbons,,,Clint Poulsen,Jim Funk,Barry Gibbons,,,,,EFY 2007: Power in Purity (2007),2007,9,12,,
Peace,Felicia Sorensen Wolfe,,,,,,,,,,,Guy Richey Gibbons,Barry Gibbons,,,,Guy Richey Gibbons,Barry Gibbons,,,,,,EFY 2007: Power in Purity (2007),2007,10,12,,
Color of Truth,Greg Simpson,,,,,,,,,,,Greg Simpson,Michael Dowdle,,,,Greg Simpson,Michael Dowdle,,,,,,EFY 2007: Power in Purity (2007),2007,11,12,,
Shine,Jenny Jordan Frogley,,,,,,,,,,,Cesar Lemos,Jason Deere,Craig Poole,,,Cesar Lemos,Jason Deere,Craig Poole,,,,,EFY 2007: Power in Purity (2007),2007,12,12,,
Steady and Sure,Jessie Clark Funk,,,,,,,,,,,Barry Gibbons,B. Michael Gibbons,,,,Barry Gibbons,B. Michael Gibbons,,,Barry Gibbons,B. Michael Gibbons,,"EFY 2008: Steady and Sure (2008, 2008b)",2008,1,17,,
Now I Can See,Ben Truman,,,,,,,,,,,Dan Truman,Jeannine Lasky,,,,Dan Truman,Jeannine Lasky,,,Jim Funk,Barry Gibbons,,"EFY 2008: Steady and Sure (2008, 2008b)",2008,2,17,,
Amazing Grace,Daniel Beck,,,,,,,,,,,John Newton,John Newton,,,,"Virginia Harmony, 1831","Virginia Harmony, 1831",,,Jim Funk,Randy Kartchner,,"EFY 2008: Steady and Sure (2008, 2008b)",2008,3,17,,
A Woman’s Heart,Felicia Sorensen Wolfe,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,Rob Honey,,,"EFY 2008: Steady and Sure (2008, 2008b)",2008,4,17,,
The Power of One,Megan Flinders,,,,,,,,,,,Stephanie Smith Mabey,Jeannine Lasky,,,,Stephanie Smith Mabey,Jeannine Lasky,,,Rich Dixon,,,"EFY 2008: Steady and Sure (2008, 2008b)",2008,5,17,,
Great Expectations,Greg Simpson,,,,,,,,,,,Steven Curtis Chapman,,,,,Steven Curtis Chapman,,,,Todd Sorensen,,,"EFY 2008: Steady and Sure (2008, 2008b)",2008,6,17,,
One by One,Hilary Weeks,,,,,,,,,,,Larry Pearson,Marie Pearson,,,,Larry Pearson,Marie Pearson,,,Todd Sorensen,,,"EFY 2008: Steady and Sure (2008, 2008b)",2008,7,17,,
Heaven’s Fountain,Terry White,,,,,,,,,,,Greg Simpson,,,,,Greg Simpson,,,,Rich Dixon,,,"EFY 2008: Steady and Sure (2008, 2008b)",2008,8,17,,
What He Began,Tim Gates,,,,,,,,,,,Kenneth Cope,,,,,Kenneth Cope,,,,Barry Gibbons,,,"EFY 2008: Steady and Sure (2008, 2008b)",2008,9,17,,
Dream Big,Ryan Shupe and the Rubberband,,,,,,,,,,,Ryan Shupe,,,,,Ryan Shupe,,,,Ryan Shupe and the Rubberband,,,"EFY 2008: Steady and Sure (2008, 2008b)",2008,10,17,,
"Jesus, the Very Thought of Thee",Mindy Gledhill,,,,,,,,,,,Bernard of Clairvaux,,,,,John B. Dykes,,,,"Trans.: Edward Caswall
                          
                            (from Latin)",,,"EFY 2008: Steady and Sure (2008, 2008b)",2008,11,17,,
Hurrah for Israel,Daniel Beck,Megan Flinders,Jessie Clark Funk,Dan Kartchner,,,,,,,,Barry Gibbons,,,,,Barry Gibbons,,,,Barry Gibbons,,,"EFY 2008: Steady and Sure (2008, 2008b)",2008,12,17,,
Time,Guy Richey Gibbons,The Gibbons,,,,,,,,,,Guy Richey Gibbons,Barry Gibbons,,,,Guy Richey Gibbons,Barry Gibbons,,,Barry Gibbons,B. Michael Gibbons,,"EFY 2008: Steady and Sure (2008, 2008b)",2008,13,17,,
Steady and Sure(Instrumental Track),,,,,,,,,,,,N/A,,,,,Barry Gibbons,B. Michael Gibbons,,,Barry Gibbons,B. Michael Gibbons,,"EFY 2008: Steady and Sure (2008, 2008b)",2008,14,17,,
A Woman’s Heart(Instrumental Track),,,,,,,,,,,,N/A,,,,,Tyler Castleton,Staci Peters,,,Rob Honey,,,"EFY 2008: Steady and Sure (2008, 2008b)",2008,15,17,,
One by One(Instrumental Track),,,,,,,,,,,,N/A,,,,,Larry Pearson,Marie Pearson,,,Todd Sorensen,,,"EFY 2008: Steady and Sure (2008, 2008b)",2008,16,17,,
"Jesus, the Very Thought of Thee(Instrumental Track)",,,,,,,,,,,,N/A,,,,,John B. Dykes,,,,Randy Kartchner,,,"EFY 2008: Steady and Sure (2008, 2008b)",2008,17,17,,
Gift of Our Lives,Jenny Jordan Frogley,Ryan Innes,,,,,,,,,,Russ Dixon,,,,,Russ Dixon,,,,,,,EFY 2009: Be Thou an Example (2009),2009,1,12,https://www.youtube.com/watch?v=jyc2J4gHl3Q,239.0
Your Light,Stephanie Smith Mabey,,,,,,,,,,,Stephanie Smith Mabey,,,,,Stephanie Smith Mabey,,,,,,,EFY 2009: Be Thou an Example (2009),2009,2,12,https://www.youtube.com/watch?v=Hf_3xUWQIL0,182.0
Leave Better,Benton Paul,,,,,,,,,,,Benton Paul,,,,,Benton Paul,,,,,,,EFY 2009: Be Thou an Example (2009),2009,3,12,https://www.youtube.com/watch?v=YVqhkUiM4CU,175.0
I Will,Hilary Weeks,,,,,,,,,,,Hilary Weeks,,,,,Hilary Weeks,,,,,,,EFY 2009: Be Thou an Example (2009),2009,4,12,https://www.youtube.com/watch?v=jWyRH3xFQrc,238.0
Right Now,Peter Breinholt,,,,,,,,,,,Peter Breinholt,Rebecca Breinholt,,,,Peter Breinholt,Rebecca Breinholt,,,,,,EFY 2009: Be Thou an Example (2009),2009,5,12,https://www.youtube.com/watch?v=DzZ_fQskGEI,166.0
You Can Change,Julie Yardley,,,,,,,,,,,Lowell Alexander,Tyler Castleton,,,,Lowell Alexander,Tyler Castleton,,,,,,EFY 2009: Be Thou an Example (2009),2009,6,12,https://www.youtube.com/watch?v=dYt8CsRlbVs,227.0
More Than the World,Mindy Gledhill,,,,,,,,,,,Mindy Gledhill,,,,,Mindy Gledhill,,,,,,,EFY 2009: Be Thou an Example (2009),2009,7,12,https://www.youtube.com/watch?v=U-lsWspTqkg,217.0
Not the Only One,David Osmond,,,,,,,,,,,Cherie Call,,,,,Cherie Call,,,,,,,EFY 2009: Be Thou an Example (2009),2009,8,12,https://www.youtube.com/watch?v=gLGy1_CcPr8,247.0
