Title,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Artist9,ArtistA,ArtistB,Words1,Words2,Words3,Words4,Words5,Music1,Music2,Music3,Music4,Arrangement1,Arrangement2,Arrangement3,Album,Year,TrackNum,TotalTracks,YouTube,Length
You’ve Got to Know,Rich Gibbons,,,,,,,,,,,Rich Gibbons,,,,,Rich Gibbons,,,,Barry Gibbons,Rich Gibbons,Donna Gibbons Larkin,EFY 1990: Learning for Myself (1990),1990,2,10,,
In Some Quiet Moment,Janine Lindsay,,,,,,,,,,,Clive Romney,,,,,Clive Romney,,,,Clive Romney,,,EFY 1990: Learning for Myself (1990),1990,3,10,,
It’s a Jungle Out There,Walt Gregory,Johanne F. Perry,Melinda Larsen,,,,,,,,,Barbara Tanner,,,,,Clive Romney,,,,Clive Romney,,,EFY 1990: Learning for Myself (1990),1990,4,10,,
More Than Just a Man,Julie de Azevedo,,,,,,,,,,,Julie de Azevedo,,,,,Randy Thorderson,Julie de Azevedo,,,Randy Thorderson,,,EFY 1990: Learning for Myself (1990),1990,5,10,,
Stay on Your Knees,Johanne F. Perry,,,,,,,,,,,Clive Romney,James Marsden,,,,James Marsden,,,,Clive Romney,James Marsden,,EFY 1990: Learning for Myself (1990),1990,6,10,,
Here I Am,Randy Thorderson,,,,,,,,,,,Randy Thorderson,James Marsden,,,,Randy Thorderson,,,,Randy Thorderson,,,EFY 1990: Learning for Myself (1990),1990,7,10,,
Through Another’s Eyes,Julie de Azevedo,,,,,,,,,,,Julie de Azevedo,,,,,Julie de Azevedo,Randy Thorderson,,,Randy Thorderson,,,EFY 1990: Learning for Myself (1990),1990,8,10,,
Every Man for Himself,Kenneth Cope,,,,,,,,,,,Kenneth Cope,,,,,Kenneth Cope,,,,Randy Kartchner,Kenneth Cope,,EFY 1990: Learning for Myself (1990),1990,9,10,,
Hold On Tight,Envoy,Kary Burns,James Marsden,Dan O’Very,,,,,,,,Kenneth Cope,,,,,Kenneth Cope,,,,Brett Raymond,,,EFY 1990: Learning for Myself (1990),1990,10,10,,
Once Upon a Time,Kenneth Cope,,,,,,,,,,,Michael Webb,,,,,Dan Truman,,,,Brett Raymond,,,EFY 1991: Walk with Me (1991),1991,1,10,,
Walk in His Ways,Colette Devey Reader,,,,,,,,,,,Steve Stewart,Clive Romney,,,,Steve Stewart,Clive Romney,,,,,,EFY 1991: Walk with Me (1991),1991,2,10,,
Obedience,Randy Thorderson,,,,,,,,,,,Kenneth B. Powell,,,,,Randy Thorderson,,,,Randy Thorderson,,,EFY 1991: Walk with Me (1991),1991,3,10,,
My Brother,Skye,,,,,,,,,,,Lynda Johnson,,,,,Lynda Johnson,,,,Lex de Azevedo,,,EFY 1991: Walk with Me (1991),1991,4,10,,
Walk with Me,Envoy,,,,,,,,,,,Clive Romney,Elizabeth Romney,,,,Lex de Azevedo,,,,James Marsden,,,EFY 1991: Walk with Me (1991),1991,5,10,,
